NAME,GPSX,GPSY,TYPE,POI_DENSITY,NUM_SPACE
target1,113.3390534,23.13565843,1,14,245
target2,113.32427,23.12595794,1,14,400
target3,113.3342784,23.17850656,3,4,200
target4,113.3039685,23.10285902,4,11,257
