RMSE,MAPE,R2,RAE,TRAIN,TEST
8.01232947,14.25998275,94.8025876,18.6519444,0.005944569,0.007009478
7.74184783,14.44919534,95.226855,17.9214096,0.005212503,0.006437292
7.44226553,14.1201463,95.615455,17.2821221,0.005168423,0.005913206
7.37576965,12.8849782,95.7532098,16.7901669,0.004868866,0.005727423
7.39056285,11.5374142,95.7310727,16.2456941,0.004667487,0.005757282
7.19857612,10.91060874,95.9172476,15.47099825,0.004683306,0.005506194
6.99626073,11.1488102,96.1432335,14.9864011,0.004536028,0.005201421
6.87076858,11.28898828,96.2930902,14.70446005,0.004371914,0.004999316
6.75937697,11.32443461,96.398899,14.5459317,0.004241743,0.004856617
6.76006047,11.2490869,96.4115887,14.5537522,0.004081544,0.004839506
6.6882454,11.65330858,96.4826226,14.6668085,0.004007154,0.004743704
6.5769471,12.04774434,96.575953,14.6220896,0.003903916,0.004617835
6.54192766,12.1152057,96.612063,14.4474894,0.003833099,0.004569135
6.46144216,11.5802857,96.6894234,13.9544675,0.00384248,0.0044648
6.44254421,11.534448,96.710393,13.81931455,0.003772279,0.004436519
6.45235381,11.95479071,96.706677,14.01741575,0.003747681,0.004441531
6.38746494,11.7250324,96.7756567,13.8634034,0.003748262,0.004348503
6.30197959,11.46964773,96.8542464,13.6400421,0.003657948,0.004242513
6.27780357,11.61047495,96.8735389,13.6366391,0.003567169,0.004216496
6.26205764,11.9432803,96.8937144,13.73102315,0.003561524,0.004189287
6.22355585,12.24770815,96.9323104,13.77104395,0.003553887,0.004137233
6.20332087,12.09819338,96.9500684,13.6143603,0.003515377,0.004113283
6.1868422,11.47121249,96.970305,13.2643892,0.003497356,0.004085993
6.1533977,10.80546944,97.0032759,12.92852025,0.003473851,0.004041527
6.11994559,10.42059068,97.0281445,12.7465789,0.003439234,0.004007987
6.08869919,10.50999137,97.0586576,12.7959744,0.003420139,0.003966834
6.04403378,11.05405427,97.1014251,12.9549524,0.003386641,0.003909157
6.04700048,11.71577369,97.1001325,13.22592625,0.003328336,0.003910899
6.04339223,12.0643815,97.1012067,13.3727601,0.003321232,0.003909452
6.01233544,11.94129457,97.1273364,13.2963111,0.003315266,0.003874212
5.99793261,11.5373219,97.1399646,13.1233351,0.003282447,0.003857181
5.98594159,11.20304306,97.1522755,12.97225305,0.003268527,0.003840579
5.95709213,11.11201594,97.178986,12.88881875,0.003253222,0.003804555
5.94305433,11.16949607,97.194133,12.9007166,0.003220905,0.003784127
5.91229295,11.13809835,97.221634,12.841357,0.003206455,0.003747036
5.87688386,10.92912483,97.2521909,12.6995835,0.003180169,0.003705824
5.86521818,10.67287493,97.2633558,12.5926815,0.003150227,0.003690769
5.85179846,10.5112671,97.2748724,12.5305722,0.003140504,0.003675236
5.84150713,10.44075735,97.2848115,12.4970225,0.003124947,0.003661833
5.83693233,10.42455395,97.2916909,12.48352015,0.003107487,0.003652555
5.81882164,10.37277271,97.3083816,12.4364376,0.003095147,0.003630045
5.79640143,10.30651378,97.327246,12.3857428,0.003076373,0.003604604
5.77801852,10.28246906,97.343393,12.34887975,0.003060008,0.003582826
5.76077786,10.30377677,97.3585222,12.32092445,0.003045975,0.003562423
5.75228443,10.33787274,97.3666165,12.3252164,0.003028396,0.003551505
5.74361262,10.34383559,97.3749069,12.335323,0.003015368,0.003540329
5.73072545,10.32291082,97.3863007,12.3329684,0.003001298,0.00352496
5.71860099,10.24884503,97.396726,12.28938195,0.002986629,0.003510899
5.70380368,10.1700215,97.4095472,12.22872025,0.002975658,0.003493609
5.68820204,10.12078102,97.4233235,12.1821276,0.002962788,0.003475028
5.67565154,10.08577407,97.4351117,12.1515882,0.00294741,0.003459131
5.66064886,10.04955271,97.4486771,12.1165867,0.002934458,0.003440834
5.64361749,10.00473404,97.4636584,12.0594787,0.002921083,0.003420632
5.62802078,9.96622485,97.4772314,12.005451,0.002907758,0.003402324
5.61447488,9.9196855,97.4889621,11.9601337,0.002896423,0.003386507
