RMSE,MAPE,R2,RAE,TRAIN,TEST
3.21084918,5.15336341,93.9310965,21.0903627,0.00109942,0.001032301
3.21004981,5.15058668,93.9341835,21.082712,0.001098644,0.001031776
3.2091847,5.14931819,93.9375227,21.078084,0.001097903,0.001031208
3.20816721,5.14846364,93.941459,21.0734599,0.001097177,0.001030539
3.20705994,5.14967345,93.9457371,21.0731615,0.00109643,0.001029811
3.20607745,5.15056575,93.9495237,21.0726957,0.001095653,0.001029167
3.20513395,5.14995328,93.9531665,21.0689504,0.001094967,0.001028547
3.20420439,5.14705045,93.956758,21.0601885,0.001094289,0.001027936
3.20340261,5.14436245,93.9598606,21.0526064,0.001093562,0.001027409
3.2025569,5.14390541,93.9631275,21.0497709,0.001092878,0.001026853
3.20161604,5.14440375,93.9667518,21.0485303,0.001092191,0.001026236
3.20065902,5.14599278,93.9704514,21.0495028,0.001091494,0.001025607
3.19979465,5.14720091,93.973789,21.0497913,0.001090796,0.00102504
3.1990468,5.14725157,93.9766816,21.0481725,0.001090142,0.001024547
3.19822863,5.14449422,93.979828,21.0397331,0.001089477,0.001024012
3.19748062,5.1420401,93.9827226,21.0323886,0.001088813,0.00102352
3.19673468,5.13949379,93.9856051,21.0247799,0.001088143,0.001023029
3.19589738,5.13830129,93.9888294,21.0196909,0.001087494,0.001022481
3.1951104,5.13813456,93.9918664,21.0171443,0.001086841,0.001021965
3.19431514,5.13892539,93.9949301,21.0163495,0.001086196,0.001021443
3.19356065,5.13843891,93.997834,21.0131197,0.001085556,0.00102095
3.19289097,5.13640311,94.0004213,21.006573,0.001084956,0.001020509
3.19219661,5.13364808,94.003091,20.9983428,0.001084306,0.001020055
3.19145457,5.13183838,94.0059515,20.9923874,0.001083687,0.001019569
3.19073665,5.12950814,94.0087159,20.9850616,0.001083047,0.001019098
3.18993595,5.12974704,94.0117967,20.9834794,0.001082456,0.001018575
3.18915138,5.12955318,94.014806,20.9807839,0.001081856,0.001018063
3.18837114,5.12908913,94.0177994,20.9774649,0.001081233,0.001017554
3.18767387,5.12859446,94.0204758,20.9744513,0.00108062,0.001017098
3.18703685,5.1273366,94.0229259,20.9700906,0.001080015,0.001016682
3.18633466,5.12601454,94.0256263,20.9653822,0.001079463,0.001016222
3.18571504,5.12444241,94.0280042,20.9603174,0.00107887,0.001015817
3.18498846,5.12443645,94.030798,20.9583824,0.001078272,0.001015342
3.18429474,5.12509582,94.0334691,20.958004,0.001077694,0.001014888
3.18361752,5.12495549,94.0360694,20.9557883,0.001077134,0.001014446
3.18291447,5.12421062,94.0387615,20.9520751,0.001076553,0.001013988
3.18226103,5.12280261,94.0412712,20.9471273,0.001075982,0.001013561
3.1816754,5.12047044,94.0435179,20.9405889,0.001075414,0.001013179
3.18101672,5.11890374,94.0460425,20.9352116,0.001074871,0.001012749
3.18038158,5.11807759,94.0484809,20.9316708,0.001074294,0.001012335
3.1797284,5.11805527,94.0509875,20.9296453,0.001073777,0.001011908
