TIME,Origin,L3F,LSTM,SVR
25/06/2018 08:25,105,92.99196959,89.23316836,86.81908396
25/06/2018 08:30,110,92.11413205,88.64104092,88.64689969
25/06/2018 08:35,111,92.60622978,86.27665639,91.42588956
25/06/2018 08:40,111,95.82536757,88.93915832,92.36170271
25/06/2018 08:45,117,97.87305057,88.49033058,100.0020368
25/06/2018 08:50,119,106.5377557,98.06713939,100.0020368
25/06/2018 08:55,117,109.9858153,93.89493406,102.9297065
25/06/2018 09:00,119,113.1446016,97.63609171,107.8717278
25/06/2018 09:05,126,117.9207134,100.8697635,108.8683727
25/06/2018 09:10,131,119.8145139,102.7959204,108.8683727
25/06/2018 09:15,133,117.1049428,103.4020674,114.895048
25/06/2018 09:20,134,122.9078269,109.7738945,116.9186189
25/06/2018 09:25,134,125.088557,111.1430168,114.895048
25/06/2018 09:30,136,122.3782957,111.872592,116.9186189
25/06/2018 09:35,143,123.5280514,116.0668945,124.0379846
25/06/2018 09:40,150,129.8861957,118.9593458,129.1395593
25/06/2018 09:45,153,134.7120726,118.9228058,131.1795902
25/06/2018 09:50,156,139.5358837,120.9999001,132.1989372
25/06/2018 09:55,160,143.1158745,122.2700572,132.1989372
25/06/2018 10:00,169,141.8074942,127.6598346,134.2356196
25/06/2018 10:05,168,139.6235693,130.7576907,141.3287704
25/06/2018 10:10,168,144.258709,131.9709516,148.3322672
25/06/2018 10:15,169,152.765156,135.3576219,151.2951424
25/06/2018 10:20,172,159.1634798,137.9281557,154.2298135
25/06/2018 10:25,171,164.0707493,139.0460801,158.0929435
25/06/2018 10:30,171,167.2731531,147.1466279,166.5388064
25/06/2018 10:35,173,172.4574304,149.6710062,165.6191182
25/06/2018 10:40,171,172.3948336,148.2355309,165.6191182
25/06/2018 10:45,173,171.9636953,150.7378614,166.5388064
25/06/2018 10:50,173,171.0307431,155.6368029,169.2669902
25/06/2018 10:55,173,170.8199883,157.9164243,168.3628549
25/06/2018 11:00,171,168.0733776,158.103857,168.3628549
25/06/2018 11:05,173,168.6039937,160.1067734,170.165718
25/06/2018 11:10,173,169.9363875,161.8897533,168.3628549
25/06/2018 11:15,174,168.3077395,162.8716826,170.165718
25/06/2018 11:20,176,168.5141134,162.9473245,170.165718
25/06/2018 11:25,171,169.3346465,156.6791308,170.165718
25/06/2018 11:30,167,169.3314075,165.0543988,168.3628549
25/06/2018 11:35,164,167.4175739,154.2820978,170.165718
25/06/2018 11:40,164,168.6579573,169.3843365,170.165718
25/06/2018 11:45,168,168.3494759,165.391283,171.0589286
25/06/2018 11:50,169,169.3888366,170.4211056,172.828365
25/06/2018 11:55,164,171.5962434,158.2822227,168.3628549
25/06/2018 12:00,154,169.0808749,165.1394796,164.6944725
25/06/2018 12:05,152,163.7774503,158.5789847,161.8919475
25/06/2018 12:10,148,158.9747274,158.258152,161.8919475
25/06/2018 12:15,147,156.3812995,159.6290684,165.6191182
25/06/2018 12:20,144,158.9642799,154.9669456,166.5388064
25/06/2018 12:25,144,163.4910059,150.9460831,161.8919475
25/06/2018 12:30,146,162.4067819,157.6635218,152.2766696
25/06/2018 12:35,146,153.4750056,151.8569982,150.3104809
25/06/2018 12:40,145,146.4652479,153.6859977,146.3430582
25/06/2018 12:45,146,138.59007,152.2406244,145.3446548
25/06/2018 12:50,146,135.8129478,148.5146117,142.3358189
25/06/2018 12:55,148,135.2689254,142.9540277,142.3358189
25/06/2018 13:00,153,137.9910398,142.4868095,144.343893
25/06/2018 13:05,155,140.6939232,137.1910775,144.343893
25/06/2018 13:10,155,143.2844257,139.3142581,143.3409038
25/06/2018 13:15,151,143.6591327,142.3269928,144.343893
25/06/2018 13:20,154,145.506649,142.2062576,144.343893
25/06/2018 13:25,155,145.4047155,136.1530733,146.3430582
25/06/2018 13:30,154,146.5029395,140.9032583,151.2951424
25/06/2018 13:35,153,151.9160974,143.6250031,153.2549355
25/06/2018 13:40,157,156.3060904,138.254925,153.2549355
25/06/2018 13:45,158,157.6194978,145.0822914,149.322813
25/06/2018 13:50,160,154.2837477,144.0861285,152.2766696
25/06/2018 13:55,160,153.7130594,148.9519346,153.2549355
25/06/2018 14:00,157,152.6700056,149.9777639,152.2766696
25/06/2018 14:05,157,151.8130076,140.8248949,151.2951424
25/06/2018 14:10,158,151.4325976,152.6760054,155.201178
25/06/2018 14:15,157,155.5037057,149.3649161,156.1689038
25/06/2018 14:20,163,156.3415861,153.9669907,158.0929435
25/06/2018 14:25,163,158.851347,150.8165312,158.0929435
25/06/2018 14:30,164,160.477519,147.7697372,155.201178
25/06/2018 14:35,164,158.1110632,153.8431942,155.201178
25/06/2018 14:40,164,155.2175319,156.9469738,156.1689038
25/06/2018 14:45,168,154.8453259,153.5536349,155.201178
25/06/2018 14:50,167,153.521477,150.6750953,160.9486338
25/06/2018 14:55,169,158.7648785,148.1441116,160.9486338
25/06/2018 15:00,171,162.1377003,154.5167422,161.8919475
25/06/2018 15:05,171,163.828671,155.911212,161.8919475
25/06/2018 15:10,176,164.1336596,150.4301405,161.8919475
25/06/2018 15:15,178,163.8061965,147.1745825,165.6191182
25/06/2018 15:20,174,164.706223,157.6556563,164.6944725
25/06/2018 15:25,174,165.2781296,163.0241489,166.5388064
25/06/2018 15:30,174,166.7941999,158.9523447,168.3628549
25/06/2018 15:35,170,169.0558815,161.9707954,168.3628549
25/06/2018 15:40,164,169.5253742,157.1832585,172.828365
