RL,Random,Baseline
1.516453549,1.576650888,2.333942614
1.494404953,1.500333846,2.408195846
1.575413346,1.607236825,2.879003435
1.71025563,1.86492689,9.901699424
1.718422398,1.847794466,3.886323422
1.859674416,1.925840229,2.81244684
1.767365262,2.181630582,2.195299603
1.886142418,1.682201028,2.546679042
1.753688045,1.802769862,8.779322356
0.893159375,2.390965633,2.439474873
