RL,Random,Baseline
8.266302198,10.76983958,18.81899536
8.062515408,12.80284226,19.1608727
7.944115996,13.61347586,9.837625921
8.173696697,8.451963216,17.72114187
8.045449853,16.54158235,18.5380891
8.796284348,8.274362981,19.90289688
7.885889709,17.49705821,10.75564176
8.999998868,14.74963129,11.14881486
8.305613697,7.994373888,19.45211589
7.9390347,17.31120497,20.95948011
