RL,Random,Baseline
3.94956097,5.014148727,8.832608908
3.82306464,5.904217809,9.096267074
3.78064476,6.310012937,4.572506994
3.918159381,4.049781337,8.107051253
3.838326037,7.951410115,8.739706874
4.067568481,3.931907564,9.404221922
3.768939152,8.248604089,5.173873901
4.018121585,6.919296831,5.309724063
3.880340233,3.830267489,9.163657576
3.769099712,7.969876379,9.799941629
