RL,Random,Baseline
98.84335743,98.1357852,94.21531856
98.9162609,97.41520453,93.86481233
98.94017717,97.04768993,98.4497197
98.86167664,98.78391298,95.12665346
98.90759103,95.31197585,94.33636554
98.77320714,98.85367416,93.44236553
98.94672995,94.95498613,98.0151251
98.80285254,96.4500241,97.90952299
98.8835454,98.91217342,93.77356917
98.94664017,95.29017694,92.87887812
