RL,Random,Baseline
4.739950597,4.845007882,9.20566842
4.367132485,5.249389261,6.041773409
4.563723877,4.40290831,6.303254515
4.576975852,6.820599735,8.522944152
4.435545206,6.644702703,7.350981981
5.191904306,5.590586364,7.054046541
4.446833581,4.876206443,5.616625398
4.733774811,4.789432511,7.758500427
4.732598364,4.790271074,7.432191074
4.651156813,4.426528886,7.106471807
