RL,Random,Baseline
4.999392107,5.359091982,5.749166384
4.912495986,4.986735433,5.959793925
4.97443825,5.031406879,5.068796501
4.966292158,5.672783032,7.349804044
4.942001775,5.083988607,6.995832175
5.03782779,5.106637999,7.613927871
6.720285118,5.537824333,5.010154098
4.889711365,4.963188246,5.12204133
4.941899329,4.946508259,7.300819457
5.029838905,5.69781065,6.636811793
